% Model:              wire_3D.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jan 25 2026, 17:42
% Dimension:          1
% Nodes:              752
% Expressions:        1
% Description:        Line graph
% x-coordinate (nm)       Electric field, z-component
-6.9242258865735415       1.133392406692048E9
-6.788690334928608        1.1332863735604262E9
-6.778034065594051        1.1332780368724115E9
-6.739810866274979        1.133248133828706E9
-6.724225886573542        1.1334907852102742E9
-6.682908265471673        1.1317474010062141E9
-6.650609005124275        1.1301853243639498E9
-6.649728922034729        1.1301427612457037E9
-6.634535531944125        1.1294079691940563E9
-6.633697511232152        1.129367440322317E9
-6.627720179571242        1.1290783609418561E9
-6.621938843647782        1.1287987604274795E9
-6.616658233801266        1.128543376334797E9
-6.616015675718187        1.1285123005466185E9
-6.595198319322749        1.1275055187866278E9
-6.593440314370307        1.1274204970727043E9
-6.5609694218238905       1.1258501198487492E9
-6.544845177314707        1.1250703092446976E9
-6.499999999999999        1.122418993774909E9
-6.399999999999999        1.123362452685378E9
-6.3                      1.124547154343401E9
-6.199999999999999        1.1257318560014224E9
-6.1                      1.126916557659443E9
-6                        1.1312923744781327E9
-5.900000000000001        1.1352736588025942E9
-5.8                      1.1360638279663868E9
-5.7                      1.1368539971301782E9
-5.6                      1.13764416629397E9
-5.500000000000001        1.140576924026562E9
-5.3999999999999995       1.1395897824042192E9
-5.300000000000001        1.1403977088778944E9
-5.199999999999999        1.1412056353515697E9
-5.1000000000000005       1.1420135618252444E9
-4.999999999999999        1.143870850892226E9
-4.9                      1.1457909960015206E9
-4.799999999999999        1.146661778517508E9
-4.7                      1.147532561033496E9
-4.6                      1.1484033435494828E9
-4.500000000000001        1.1475246113760595E9
-4.400000000000002        1.147876228213705E9
-4.300000000000001        1.1499773597407613E9
-4.200000000000002        1.1520784912678175E9
-4.1000000000000005       1.154179622794874E9
-4.000000000000002        1.157195816978078E9
-3.9000000000000004       1.1596395098121212E9
-3.8000000000000016       1.1611681399900153E9
-3.700000000000001        1.1626967701679096E9
-3.6000000000000023       1.164225400345805E9
-3.500000000000001        1.1607697231355689E9
-3.3999999999999995       1.1582824685460584E9
-3.3000000000000007       1.1607795213446789E9
-3.1999999999999997       1.1632765741432986E9
-3.100000000000001        1.1657736269419184E9
-3                        1.1702267719977741E9
-2.9000000000000012       1.1749453898410573E9
-2.8                      1.1777079154271047E9
-2.7000000000000015       1.1804704410131526E9
-2.6000000000000005       1.1832329665991998E9
-2.5000000000000018       1.1909601631099148E9
-2.400000000000003        1.1970550510491004E9
-2.3000000000000016       1.1981852680636168E9
-2.200000000000003        1.1993154850781312E9
-2.100000000000002        1.2004457020926478E9
-2.000000000000003        1.1964054245091307E9
-1.900000000000002        1.1919813458939183E9
-1.800000000000003        1.1927277618767402E9
-1.7000000000000015       1.1934741778595622E9
-1.6000000000000028       1.1942205938423843E9
-1.5000000000000018       1.1918479123279407E9
-1.4000000000000004       1.1885082992569005E9
-1.3000000000000016       1.1889889152263064E9
-1.2000000000000006       1.1894695311957116E9
-1.1000000000000019       1.1899501471651163E9
-1.0000000000000004       1.1925418985829349E9
-0.9000000000000018       1.1935659909592676E9
-0.8000000000000006       1.1924789478871875E9
-0.7000000000000017       1.1913919048151066E9
-0.6000000000000005       1.190304861743026E9
-0.5000000000000018       1.1902487624852006E9
-0.4000000000000006       1.1836216463443868E9
-0.3000000000000017       1.1801361257567582E9
